测试用例序号,模块,测试点,测试用例标题,优先级,操作步骤,预期结果,最终结果,备注,测试人
testcase_124,设置页面,扩展设置,安装Extension扩展,中,"1 进入ExtensionSettingsPage
2 浏览可用扩展
3 安装一个扩展
4 启用已安装的扩展","1 扩展安装成功
2 扩展在对话中可用
3 可禁用和卸载扩展",,,
testcase_125,设置页面,技能中心,浏览内置技能列表,高,"1 进入SkillsHubSettings
2 查看内置技能列表(PPT/Word/Excel等21个助手)","1 显示完整的内置技能列表
2 每个技能有名称和描述
3 可启用/禁用各技能",,,
testcase_126,设置页面,技能中心,导入自定义技能ZIP包,中,"1 准备一个技能.zip文件
2 进入SkillsHubSettings
3 点击导入技能
4 选择.zip文件导入
5 在对话中测试新技能","1 技能导入成功
2 技能出现在可用技能列表中
3 对话中可调用导入的技能
4 技能功能正常",,,
testcase_127,设置页面,技能中心,导入超大技能包(超过大小限制),中,"1 准备一个超过大小限制的.zip技能包
2 尝试导入","1 提示技能包大小超出限制
2 不导入超大文件
3 限制值符合v2.1.28更新的上限",,,
testcase_128,设置页面,技能中心,导入损坏的ZIP文件,低,"1 准备一个损坏的.zip文件
2 尝试导入技能","1 提示文件损坏或格式错误
2 不导入损坏的技能
3 已有技能不受影响",,,
testcase_129,设置页面,模式设置,切换不同Work Mode,中,"1 进入ModeSettings
2 切换到不同工作模式
3 在对话中验证模式变化","1 模式切换成功
2 对话Agent行为根据模式变化
3 模式设置持久化",,,
testcase_130,设置页面,WebUI设置,启用WebUI远程访问,高,"1 进入WebuiSettings
2 启用WebUI
3 设置端口号和访问密码
4 在浏览器中访问http://localhost:端口号","1 WebUI服务成功启动
2 浏览器可访问Web界面
3 需要密码登录
4 界面功能和桌面端基本一致",,,
testcase_131,设置页面,WebUI设置,WebUI远程公网访问,中,"1 启用WebUI的远程访问模式
2 配置公网访问参数
3 通过外网地址访问","1 远程访问正常
2 HTTPS安全连接(如配置)
3 性能和局域网模式无明显差异",,,
testcase_132,设置页面,WebUI设置,WebUI未设置密码时的安全警告,高,"1 启用WebUI但不设置密码
2 尝试保存配置","1 提示必须设置密码
2 不保存不安全的配置
3 给出安全最佳实践建议",,,
testcase_133,设置页面,宠物设置,启用桌面宠物功能,低,"1 进入PetSettings
2 启用桌面宠物
3 选择宠物类型
4 观察桌面","1 桌面出现宠物动画
2 宠物可交互
3 不影响主应用性能",,,
testcase_134,设置页面,宠物设置,禁用桌面宠物,低,"1 已启用桌面宠物
2 进入PetSettings
3 禁用宠物
4 观察桌面","1 宠物从桌面消失
2 相关进程资源释放
3 不影响其他功能",,,
testcase_135,远程访问,聊天平台集成,配置Telegram Bot接入,中,"1 进入远程访问设置
2 配置Telegram Bot Token
3 启用Telegram集成
4 在Telegram中向Bot发送消息","1 Telegram Bot成功连接
2 在Telegram中发送消息能收到AI回复
3 多轮对话上下文保持",,,
testcase_136,远程访问,聊天平台集成,配置飞书Bot接入,中,"1 配置飞书应用凭证
2 启用飞书集成
3 在飞书中发送消息","1 飞书集成成功
2 消息正常收发
3 AI回复在飞书中展示",,,
testcase_137,远程访问,聊天平台集成,配置钉钉Bot接入,中,"1 配置钉钉机器人Webhook
2 启用钉钉集成
3 在钉钉群中@机器人","1 钉钉机器人成功接入
2 群消息正常响应
3 支持多轮对话",,,
testcase_138,远程访问,聊天平台集成,配置微信个人号接入,中,"1 配置微信接入参数
2 启用微信集成
3 在微信中发送消息","1 微信消息正常接收
2 AI回复能发送到微信
3 消息延迟在可接受范围",,,
testcase_139,远程访问,聊天平台集成,同时启用多个平台集成,中,"1 同时启用Telegram、飞书和WebUI
2 分别在不同平台发送消息
3 观察消息路由","1 各平台消息独立处理
2 不会串消息
3 系统资源占用合理",,,
testcase_140,远程访问,多端协同,桌面端和WebUI同时在线,中,"1 桌面端登录AionUi
2 在浏览器打开WebUI登录同一账户
3 在两端分别操作","1 两端均正常工作
2 对话历史在两端同步
3 一端操作另一端可见更新",,,
testcase_141,应用更新,自动更新,检测到新版本后的更新流程,高,"1 使用旧版本AionUi
2 当有新版本时
3 观察更新提示
4 点击更新
5 等待完成","1 检测到新版本弹出更新提示
2 显示版本号和更新内容
3 点击更新后下载新版本
4 安装完成后自动重启
5 重启后版本号更新",,,
testcase_142,应用更新,自动更新,更新过程中取消下载,中,"1 检测到新版本
2 开始下载更新
3 在下载过程中点击取消","1 下载取消
2 不安装不完整的更新包
3 可重新触发更新检查",,,
testcase_143,应用更新,自动更新,网络异常时更新失败的处理,中,"1 检测到新版本
2 在下载过程中断开网络
3 恢复网络后重新检查更新","1 下载失败给出明确提示
2 不安装损坏的更新包
3 恢复后可重新触发更新
4 应用当前版本可正常使用",,,
testcase_144,应用更新,自动更新,更新失败回滚到旧版本,低,"1 下载完成开始安装更新
2 安装过程被中断(如强制关机)
3 重新启动应用","1 应用检测到更新失败
2 自动回滚到旧版本
3 旧版本可正常使用
4 可重新检查更新",,,
testcase_145,应用更新,自动更新,CDN元数据更新源正常获取,中,"1 检查更新
2 验证从CDN获取更新元数据","1 更新元数据从CDN正确获取
2 包含版本号、更新日志、下载链接
3 元数据解析正确",,,
testcase_146,桌面宠物,宠物功能,桌面宠物基础交互,低,"1 启用桌面宠物
2 右键点击宠物
3 选择喂食、玩耍等交互","1 宠物响应交互操作
2 动画效果流畅
3 宠物状态变化(如心情)",,,
testcase_147,桌面宠物,宠物功能,宠物在多显示器环境的表现,低,"1 连接外接显示器
2 启用宠物
3 拖动宠物到不同显示器
4 切换主显示器","1 宠物可拖动到任意显示器
2 不出现位置错乱
3 切换主显示器后宠物仍在原位",,,
testcase_148,性能测试,启动性能,冷启动时间测试,中,"1 完全退出AionUi
2 清除缓存后启动
3 记录从点击图标到主界面完全加载的时间","1 冷启动时间在可接受范围(通常<10秒)
2 启动过程有明显加载动画
3 不出现长时间白屏",,,
testcase_149,性能测试,启动性能,热启动时间测试,中,"1 AionUi已在后台运行
2 从Dock/任务栏点击图标恢复窗口
3 记录窗口恢复时间","1 热启动响应时间<2秒
2 窗口位置和大小保持不变
3 对话内容完好",,,
testcase_150,性能测试,内存占用,多对话并发时的内存占用,中,"1 开启10个对话并发送消息
2 观察内存占用变化
3 关闭部分对话
4 观察内存释放","1 内存增长在合理范围
2 关闭对话后内存有回收
3 无内存泄漏(长时间运行后内存持续增长)",,,
testcase_151,性能测试,数据库性能,大量对话历史的读写性能,低,"1 积累大量对话历史(超过1000条消息)
2 启动应用
3 搜索历史对话
4 切换对话","1 应用启动时间无明显增加
2 搜索历史对话响应时间<2秒
3 对话切换流畅不卡顿",,,
testcase_152,性能测试,渲染性能,超长Markdown文档的渲染,低,"1 发送消息让AI生成超过500行的Markdown文档
2 等待渲染
3 快速滚动查看","1 渲染完成时间合理
2 滚动流畅不卡顿
3 代码块语法高亮正常",,,
testcase_153,安全测试,认证安全,API Key本地存储加密,高,"1 配置API Key并保存
2 退出应用
3 查看本地存储文件(如SQLite数据库)
4 搜索API Key明文","1 API Key不以明文存储
2 使用加密或哈希保护
3 数据库文件无法直接读取Key",,,
testcase_154,安全测试,认证安全,Session过期/Token失效的处理,中,"1 使用一个即将过期的Token配置Agent
2 等待Token过期
3 发送消息","1 返回Token失效错误
2 界面提示“认证失败请重新配置API Key”
3 跳转或提示进入设置页面更新",,,
testcase_155,安全测试,认证安全,多次错误登录/认证的处理,低,"1 在WebUI登录页面
2 连续输入错误密码10次
3 观察系统反应","1 应该有防暴力破解机制(如锁定或延迟)
2 记录安全日志
3 应用不崩溃",,,
testcase_156,安全测试,输入安全,SQL注入在搜索框中的防护,中,"1 在对话搜索框中输入: '; DROP TABLE conversations; --
2 观察搜索结果和数据库状态","1 输入被安全处理为搜索关键词
2 不执行SQL注入
3 对话数据完整无损",,,
testcase_157,安全测试,输入安全,XSS在对话标题中的防护,中,"1 创建对话时标题输入<script>alert('xss')</script>
2 保存标题
3 查看对话列表中的标题显示","1 XSS脚本被转义显示为纯文本
2 不触发弹窗
3 其他对话和界面不受影响",,,
testcase_158,安全测试,进程安全,Electron安全策略验证,中,"1 检查应用是否启用nodeIntegration
2 检查contentSecurityPolicy设置
3 检查webview标签使用情况","1 nodeIntegration在渲染进程中禁用
2 CSP头部正确配置
3 webview使用安全合理",,,
testcase_159,安全测试,IPC安全,渲染进程不直接访问Node.js API,高,"1 在渲染进程中尝试require('fs')
2 尝试直接调用child_process","1 require不可用在渲染进程
2 直接Node API调用被阻止
3 跨进程功能必须通过IPC桥接层",,,
testcase_160,安全测试,文件安全,文件路径遍历攻击防护,中,"1 上传文件时修改文件名为../../../etc/passwd
2 发送消息让AI读取该文件","1 路径被规范化处理
2 不会读取系统敏感文件
3 AI仅能访问工作区内的文件",,,
testcase_161,兼容性测试,操作系统,macOS 10.15兼容性,中,"1 在macOS 10.15+系统上安装AionUi
2 运行应用执行核心功能","1 应用安装正常
2 核心功能(对话、文件操作)正常
3 UI渲染正常无布局问题",,,
testcase_162,兼容性测试,操作系统,Windows 10兼容性,高,"1 在Windows 10系统上安装AionUi
2 运行核心功能","1 安装和启动正常
2 UI和功能正常
3 无.dll缺失错误",,,
testcase_163,兼容性测试,操作系统,Windows 11 ARM64兼容性,中,"1 在Windows 11 ARM64设备上安装
2 测试核心功能","1 安装程序正常运行(ARM64版本)
2 应用启动和运行正常
3 无架构兼容问题",,,
testcase_164,兼容性测试,操作系统,Linux Ubuntu 18.04兼容性,中,"1 在Ubuntu 18.04上安装AionUi
2 运行核心功能","1 安装成功依赖满足
2 应用正常启动
3 核心功能可用",,,
testcase_165,兼容性测试,操作系统,macOS ARM64(Apple Silicon)原生支持,高,"1 在M系列芯片Mac上安装AionUi ARM64版本
2 运行应用","1 应用原生运行不通过Rosetta转译
2 性能良好
3 无兼容问题",,,
testcase_166,兼容性测试,浏览器兼容,WebUI在Chrome中的兼容性,高,"1 在Chrome浏览器打开WebUI
2 执行对话、文件上传、设置等操作","1 所有功能正常
2 UI渲染正确无错位
3 性能良好",,,
testcase_167,兼容性测试,浏览器兼容,WebUI在Safari中的兼容性,中,"1 在Safari浏览器打开WebUI
2 执行核心操作
3 测试Markdown渲染","1 核心功能正常
2 Markdown渲染兼容Safari(safari15MarkdownCompatPlugin)
3 无Safari特有的渲染问题",,,
testcase_168,兼容性测试,浏览器兼容,WebUI在Firefox中的兼容性,中,"1 在Firefox浏览器打开WebUI
2 执行核心操作","1 核心功能正常
2 UI渲染无明显差异
3 WebSocket连接稳定",,,
testcase_169,兼容性测试,分辨率,不同屏幕分辨率的UI适配,中,"1 在不同分辨率下运行应用(1366x768 / 1920x1080 / 2560x1440)
2 检查UI布局","1 各分辨率下UI布局正常
2 无元素重叠或溢出
3 最小分辨率下仍可正常使用",,,
testcase_170,兼容性测试,分辨率,4K高分屏HiDPI适配,低,"1 在4K显示器(缩放150%/200%)上运行
2 检查UI清晰度","1 UI元素清晰不失真
2 文字渲染清晰
3 图标和图片不模糊",,,
testcase_171,错误处理,数据库异常,数据库损坏后启动恢复,中,"1 模拟数据库文件损坏
2 启动AionUi
3 观察恢复过程","1 检测到数据库损坏并提示用户
2 用户确认后执行修复或重建
3 修复后应用正常启动
4 如数据可恢复尽量恢复",,,
testcase_172,错误处理,后端异常,后端进程崩溃后的自动恢复,中,"1 后端AionCore进程正在运行
2 强制终止后端进程
3 观察前端反应","1 前端检测到后端断开连接
2 显示连接中断提示
3 自动尝试重启后端进程
4 恢复后继续正常工作",,,
testcase_173,错误处理,网络异常,完全断网时的用户体验,中,"1 应用正常运行中
2 断开所有网络连接
3 发送消息
4 尝试加载需要网络的功能","1 发送消息时显示网络不可用
2 本地功能(查看历史对话、文件预览等)仍可用
3 恢复网络后可正常使用",,,
testcase_174,错误处理,系统资源,磁盘空间不足时的处理,低,"1 使磁盘空间几乎耗尽(<100MB)
2 运行AionUi并尝试保存数据","1 磁盘不足时给出明确警告
2 尝试自动清理临时文件
3 关键数据保存不丢失
4 不会因写入失败导致数据库损坏",,,
testcase_175,日志与调试,错误上报,Sentry错误监控正常工作,高,"1 触发一个已知异常
2 检查Sentry后台是否收到错误报告","1 错误信息被Sentry捕获
2 包含调用堆栈、环境信息
3 敏感信息(如API Key)被过滤",,,
testcase_176,日志与调试,开发调试,启用开发者工具,中,"1 在应用中按快捷键打开DevTools
2 检查Console、Network、Sources面板","1 DevTools正常打开
2 Console显示日志信息
3 Network可查看API请求
4 Sources可查看源码",,,
testcase_177,日志与调试,日志记录,日志文件按日期分片存储,低,"1 应用运行多天
2 检查日志文件目录
3 验证按日期分片的临时目录","1 日志按日期分目录存储
2 每天生成新的日志文件
3 旧日志可正常查看",,,
testcase_178,Docker部署,Docker支持,使用Dockerfile构建镜像,中,"1 使用项目根目录的Dockerfile构建Docker镜像
2 运行容器
3 配置WebUI端口映射
4 浏览器访问WebUI","1 Docker镜像构建成功
2 容器正常启动
3 WebUI可通过映射端口访问
4 核心功能在容器中正常",,,
testcase_179,Docker部署,Docker支持,容器内文件系统隔离,中,"1 在Docker容器中运行AionUi
2 AI执行文件读写操作
3 检查文件作用范围","1 文件操作限制在容器工作目录
2 不会影响宿主机文件系统
3 权限正确隔离",,,
testcase_180,代码质量,TypeScript类型安全,编译时无类型错误,中,"1 克隆项目源码
2 运行bunx tsc --noEmit
3 检查类型检查结果","1 类型检查通过无错误
2 无any类型的滥用
3 接口和类型定义完整",,,
testcase_181,代码质量,Lint规则,代码风格检查通过,中,"1 克隆项目源码
2 运行bun run lint
3 检查lint结果","1 Lint检查通过0 error
2 代码风格统一
3 无严重代码质量问题",,,
testcase_182,代码质量,测试覆盖率,核心模块测试覆盖率≥80%,中,"1 运行bun run test:coverage
2 查看覆盖率报告","1 整体覆盖率≥80%
2 核心业务逻辑覆盖率较高
3 边界条件有测试覆盖",,,
testcase_183,端到端测试,Playwright测试,E2E测试全部通过,中,"1 运行bun run test:e2e
2 查看测试结果","1 所有E2E测试通过
2 测试覆盖主要用户流程
3 无flaky测试",,,
testcase_184,集成测试,通信协议,ACP(Agent Communication Protocol)通信测试,中,"1 运行bun run test:integration
2 查看ACP相关测试结果","1 集成测试通过
2 ACP协议通信正常
3 Agent间消息传递符合规范",,,
testcase_185,菜单与导航,主界面布局,左侧导航栏正常显示,中,"1 启动应用
2 查看左侧导航栏
3 点击各导航项(对话、团队、定时任务、设置)","1 导航栏显示所有主要入口
2 点击导航项切换到对应页面
3 当前激活项高亮显示
4 导航项图标正确",,,
testcase_186,菜单与导航,主界面布局,快捷键导航操作,低,"1 使用键盘快捷键切换页面
2 使用Ctrl+N新建对话
3 使用Ctrl+W关闭当前页签","1 快捷键响应正确
2 页面切换流畅
3 快捷键与操作系统一致",,,
testcase_187,回归测试,会话功能,对话消息收发回归验证,高,"1 创建对话
2 发送消息
3 接收回复
4 上传文件
5 切换模型","1 所有已有对话功能正常
2 新版本未引入回归问题
3 与上一版本行为一致",,,
testcase_188,回归测试,设置功能,设置页各功能项回归验证,高,"1 依次打开所有设置页签
2 修改各项设置
3 保存并验证生效","1 所有设置页签正常打开
2 设置项修改可保存
3 设置修改后功能行为正确",,,
testcase_189,回归测试,团队功能,团队协作回归验证,高,"1 创建团队
2 分配任务
3 查看执行结果
4 修改团队配置","1 团队功能正常无回归
2 新加入时已有团队数据兼容
3 团队任务执行正常",,,
testcase_190,回归测试,定时任务,定时任务功能回归验证,高,"1 查看已创建的定时任务
2 创建新任务
3 暂停/启用任务
4 验证任务执行","1 已有定时任务数据兼容
2 定时任务调度正常
3 任务执行记录可查看",,,
testcase_191,上游合并,扩展兼容,通过AIONUI_SN环境变量启用的扩展功能,中,"1 设置AIONUI_SN环境变量
2 启动应用
3 验证扩展功能是否显示
4 取消环境变量验证原始功能","1 扩展功能正确显示
2 原始功能不被修改或删除
3 环境变量控制有效
4 无环境变量时恢复原始状态",,,
testcase_192,上游合并,上游同步,合并上游AionUi main分支后的兼容性,低,"1 从iOfficeAI/AionUi main分支获取最新代码
2 合并到helixlife-ai/AionUi
3 运行现有测试套件
4 验证扩展功能仍正常","1 合并后测试全部通过
2 扩展功能通过特性开关仍正常
3 原始代码修改最小化
4 无合并冲突残留",,,
testcase_193,浏览器环境,WebUI兼容,Safari 15 Markdown兼容插件生效,低,"1 在Safari 15浏览器打开WebUI
2 发送包含Markdown格式的回复请求
3 检查Markdown渲染效果","1 Markdown正确渲染(safari15MarkdownCompatPlugin)
2 代码块、表格、列表正常
3 无Safari特定渲染异常",,,
testcase_194,浏览器环境,地址栏访问,浏览器直接访问WebUI地址,中,"1 在浏览器输入WebUI地址
2 未登录状态下访问
3 输入密码登录","1 未登录时重定向到登录页
2 登录页面显示正常
3 登录成功后跳转到主界面
4 会话保持功能正常",,,
testcase_195,浏览器环境,地址栏访问,WebUI密码重置功能,中,"1 进入WebUI登录页
2 点击忘记密码/重置密码
3 按照流程重置密码
4 使用新密码登录","1 重置密码流程正常
2 新密码设置成功
3 旧密码失效
4 使用新密码可正常登录",,,
testcase_196,并发测试,多用户场景,多个WebUI用户同时访问,中,"1 在2个不同浏览器窗口打开WebUI
2 使用同一账户登录
3 在两个窗口中同时操作","1 两个窗口均正常工作
2 操作互不冲突
3 数据实时同步
4 不出现数据不一致",,,
testcase_197,并发测试,并发请求,同一对话快速连续发送多条消息,中,"1 在一个对话中
2 在AI回复前连续发送3条消息
3 观察消息处理顺序","1 消息按发送顺序排队处理
2 AI逐条回复不会跳过消息
3 消息不会丢失或重复",,,
testcase_198,权限测试,文件权限,AI修改只读文件的行为,中,"1 将工作目录中的某文件设为只读
2 发送指令让AI修改该文件","1 AI尝试修改时遇到权限错误
2 错误信息在对话中展示
3 AI提供替代方案或提示用户修改权限",,,
testcase_199,权限测试,目录权限,AI在工作区外创建文件的限制,低,"1 设置工作区目录为/workspace
2 发送指令让AI在/etc目录创建文件","1 AI只能在授权的工作区内操作
2 跨越工作区操作被拒绝
3 给出明确的权限不足提示",,,
testcase_200,综合测试,完整工作流,从安装到办公文档生成的端到端流程,高,"1 安装AionUi
2 配置OpenAI API Key
3 创建新对话
4 上传一个数据CSV文件
5 请求AI分析数据并生成Excel报告
6 下载生成的Excel文件
7 请求AI基于分析结果生成PPT
8 下载PPT文件
9 创建定时任务每日自动生成报告
10 启用WebUI验证远程访问","1 整个流程无阻塞
2 每个步骤结果符合预期
3 生成的文件可正常打开
4 定时任务配置正确
5 WebUI可正常访问",,,
